id,url,name,artist,album,explicit,popularity,duration_ms,key,mode,time_signature,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,tempo
3UWMoh2vU4DHGcC4mUocYc,https://open.spotify.com/track/3UWMoh2vU4DHGcC4mUocYc,Lavender,Two Door Cinema Club,Gameshow (Deluxe Edition),False,48,235893,2,0,4,0.833,0.455,0.0699,0.0572,0.00095,0.0491,0.887,96.025
5OHZ5in2h3NLndNHCnJzEX,https://open.spotify.com/track/5OHZ5in2h3NLndNHCnJzEX,Cheek To Cheek - 2006 Digital Remaster/24 Bit Mastering,Frank Sinatra,Romance: Songs From The Heart,False,33,186666,7,0,4,0.581,0.34,0.0584,0.605,0,0.145,0.876,83.054
6AgLck54Q7UMolf5WASUEx,https://open.spotify.com/track/6AgLck54Q7UMolf5WASUEx,Rindo À Toa,Falamansa,Deixa Entrar...,False,53,219973,2,1,4,0.618,0.563,0.0542,0.478,0,0.0553,0.836,79.824
4yoirlyne2EwkftLG7CpvN,https://open.spotify.com/track/4yoirlyne2EwkftLG7CpvN,Infinito Particular,Marisa Monte,Infinito Ao Meu Redor,False,48,257358,10,0,4,0.516,0.418,0.039,0.784,0.000702,0.397,0.425,123.74
6nYoTBmGFNgfTyRC8x1Fvp,https://open.spotify.com/track/6nYoTBmGFNgfTyRC8x1Fvp,TiK ToK,Kesha,Animal,False,15,199693,2,0,4,0.755,0.832,0.116,0.0746,1.27e-06,0.291,0.735,120.032
4oSnkViIE8vYdo0dFsZUOP,https://open.spotify.com/track/4oSnkViIE8vYdo0dFsZUOP,Erva Venenosa,Rita Lee,Multishow Ao Vivo,False,42,282280,0,1,4,0.465,0.753,0.0515,0.00105,0,0.586,0.377,141.026
0qstQhMhPORbC6FbHZXkVZ,https://open.spotify.com/track/0qstQhMhPORbC6FbHZXkVZ,"Não quero dinheiro, só quero amar",Tim Maia,iCollection,False,47,180600,9,1,4,0.652,0.659,0.0326,0.0929,0,0.0446,0.881,130.971
2fh3bZ8jZhMxOcfESE9nQY,https://open.spotify.com/track/2fh3bZ8jZhMxOcfESE9nQY,Don't Threaten Me with a Good Time,Panic! At The Disco,Death of a Bachelor,False,69,213093,1,0,4,0.559,0.895,0.0832,0.0154,0,0.175,0.59,183.825
6od5hFv9IT5JHc7NEF9HRv,https://open.spotify.com/track/6od5hFv9IT5JHc7NEF9HRv,Victorious,Panic! At The Disco,Death of a Bachelor,False,69,178600,8,1,4,0.57,0.865,0.0472,0.00205,0,0.404,0.691,110.01
5cY8y2XgOfkAh4kSWLFKkz,https://open.spotify.com/track/5cY8y2XgOfkAh4kSWLFKkz,I Write Sins Not Tragedies,Panic! At The Disco,A Fever You Can't Sweat Out,False,71,185586,9,0,4,0.566,0.815,0.14,0.0737,0,0.12,0.672,169.961
4tKc04ZcJkPVi22TsM07Xg,https://open.spotify.com/track/4tKc04ZcJkPVi22TsM07Xg,Samba do Irajá (feat. Chico Buarque),Nei Lopes,De Letra & Musica,False,23,306015,5,0,4,0.676,0.657,0.0416,0.21,0.000509,0.141,0.814,151.731
31P1OdwMwFh8b6kGjdLUZV,https://open.spotify.com/track/31P1OdwMwFh8b6kGjdLUZV,Chocolate,Criolo,Viva Tim Maia,False,35,181013,11,0,4,0.759,0.79,0.0656,0.264,3.91e-05,0.0707,0.914,135.953
7CotyU8EcChJlqOFnxPPmI,https://open.spotify.com/track/7CotyU8EcChJlqOFnxPPmI,Can't Hide,Whethan,Can't Hide feat. Ashe,False,58,184000,2,0,4,0.61,0.69,0.091,0.0429,6.76e-05,0.166,0.318,179.944
6Gu1BaGI5ijqEqK3g6gvMi,https://open.spotify.com/track/6Gu1BaGI5ijqEqK3g6gvMi,Different Skies,Shoffy,Different Skies,True,44,153939,1,0,1,0.482,0.467,0.0453,0.227,0.000284,0.114,0.564,100.853
2xYlyywNgefLCRDG8hlxZq,https://open.spotify.com/track/2xYlyywNgefLCRDG8hlxZq,"Take Me Home, Country Roads - Rerecorded",John Denver,"The John Denver Collection, Vol. 1: Take Me Home Country Roads",False,31,197813,9,1,4,0.255,0.43,0.0322,0.546,1.87e-05,0.188,0.546,164.267
7hN5TKSdRb56uytwIpcUES,https://open.spotify.com/track/7hN5TKSdRb56uytwIpcUES,99 Problems,Hugo,Old Tyme Religion,False,60,137426,9,1,4,0.529,0.557,0.0738,0.0357,3.93e-05,0.0734,0.592,162.599
0SuLAslEMFZAXf0SwY7syi,https://open.spotify.com/track/0SuLAslEMFZAXf0SwY7syi,All Time Low,Jon Bellion,The Human Condition,True,71,217603,0,1,4,0.617,0.567,0.0828,0.0584,0,0.0933,0.505,90.246
1Fid2jjqsHViMX6xNH70hE,https://open.spotify.com/track/1Fid2jjqsHViMX6xNH70hE,Atlantis,Seafret,Tell Me It's Real (Expanded Edition),False,63,229173,8,0,4,0.4,0.479,0.0308,0.0529,2.14e-06,0.115,0.213,166.159
76hfruVvmfQbw0eYn1nmeC,https://open.spotify.com/track/76hfruVvmfQbw0eYn1nmeC,Cake By The Ocean,DNCE,DNCE,True,79,219146,4,0,4,0.774,0.753,0.0517,0.153,0,0.0371,0.896,119.002
2N3U8uTYhjX2KwGT0pf5x0,https://open.spotify.com/track/2N3U8uTYhjX2KwGT0pf5x0,Everyday,A$AP Rocky,AT.LONG.LAST.A$AP,True,72,260986,4,1,4,0.394,0.661,0.193,0.0101,0,0.343,0.335,149.822
6BqWhxll86CGGE6WxgdRqG,https://open.spotify.com/track/6BqWhxll86CGGE6WxgdRqG,Golden Skans,Klaxons,Myths Of The Near Future,False,63,165120,2,0,4,0.463,0.836,0.0381,0.000418,7.38e-06,0.25,0.713,141.955
4Hgn5GBgk7EQGIEwGoZorQ,https://open.spotify.com/track/4Hgn5GBgk7EQGIEwGoZorQ,Down,Marian Hill,ACT ONE,False,8,197773,5,1,4,0.599,0.352,0.255,0.69,0.00413,0.125,0.0598,84.968
0q6LuUqGLUiCPP1cbdwFs3,https://open.spotify.com/track/0q6LuUqGLUiCPP1cbdwFs3,On Melancholy Hill,Gorillaz,Plastic Beach,False,75,233866,2,1,4,0.689,0.739,0.026,1.51e-05,0.509,0.064,0.578,120.423
0BJNWrHddhZzMHgZ8jfU8G,https://open.spotify.com/track/0BJNWrHddhZzMHgZ8jfU8G,King Amongst Many,Horrorshow,King Amongst Many,True,27,257268,6,1,4,0.743,0.825,0.247,0.0298,0,0.106,0.546,79.984
