url,name,artist,explicit,popularity,duration_ms,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,tempo
https://open.spotify.com/track/4BCBOgxOIACmIHlZeWCfZk,Piss On Me,2xxx!,True,37,193375,0.832,0.446,0.232,0.0733,4.18e-05,0.366,0.423,90.007
https://open.spotify.com/track/5bSOXk0zkFAyVKNrPgWUsk,Who's Lovin' You,The Jackson 5,False,41,239333,0.355,0.422,0.0297,0.785,4.22e-05,0.209,0.381,80.04
https://open.spotify.com/track/2GgkDNXh1oR5utPgCO7Jog,I'll Be There,The Jackson 5,False,20,236493,0.512,0.566,0.0264,0.564,1.51e-05,0.714,0.319,93.858
https://open.spotify.com/track/10vkYRKw6Jjr7try1ir50G,Tired of Being Alone,Al Green,False,67,172320,0.772,0.397,0.0391,0.339,0.00541,0.0753,0.617,97.964
https://open.spotify.com/track/63xdwScd1Ai1GigAwQxE8y,Let's Stay Together,Al Green,False,73,199396,0.756,0.397,0.0522,0.57,0.0115,0.0542,0.507,101.985
https://open.spotify.com/track/6SMHgPgNkhe9lneNTbgtel,Love and Happiness,Al Green,False,60,307062,0.822,0.457,0.235,0.214,0.000397,0.0766,0.73,99.16
https://open.spotify.com/track/4uDWmlaVBBbGzwUjF0WDB4,Bed Bugz,Alxndr London,False,18,206583,0.771,0.436,0.0733,0.541,0.0112,0.0866,0.334,90.008
https://open.spotify.com/track/23DIXeB8XEEh4BzaTcgKBS,April,Alxndr London,False,34,225374,0.54,0.528,0.166,0.707,0.000612,0.108,0.55,124.088
https://open.spotify.com/track/5v2AYSvjVC8j89avkf56LY,Jupiter & Pluto,Alxndr London,False,29,211445,0.659,0.524,0.0865,0.587,0.018,0.106,0.321,129.832
https://open.spotify.com/track/7pdF27mSDuPWhppnHAmWHa,whoa (mind in awe),XXXTENTACION,False,73,157776,0.735,0.525,0.0441,0.653,0.918,0.101,0.369,160.147
https://open.spotify.com/track/01w1oN1WO5aOThHnLBN8eS,American Spirits,Inner Wave,True,58,170000,0.5,0.824,0.0285,0.0509,0,0.102,0.877,158.073
https://open.spotify.com/track/69Tf2qK9sYOi1ncnXrfIUV,1 4 2,Inner Wave,False,48,305467,0.701,0.692,0.0372,0.179,0.00999,0.0994,0.561,114.96
https://open.spotify.com/track/4YLTFu7iyC3q34dvf5hRDq,Eclipse,Inner Wave,False,13,183633,0.644,0.748,0.0291,0.394,0.91,0.358,0.732,120.007
https://open.spotify.com/track/34HAlaqKnkgvYMXuAO3hoU,Loveleen,Rejjie Snow,True,51,170661,0.761,0.43,0.191,0.478,0.0287,0.0891,0.728,83.024
https://open.spotify.com/track/4uToWVHXLtKEEboNsG3n2u,Egyptian Luvr (feat. Aminé and Dana Williams),Rejjie Snow,True,61,256613,0.834,0.591,0.305,0.0553,0,0.074,0.9,104.944
https://open.spotify.com/track/1r3M82sqImOu3AUwRdELRT,23,Rejjie Snow,True,59,181613,0.803,0.637,0.105,0.276,1.68e-05,0.22,0.5,97.032
https://open.spotify.com/track/0JcQWyqbz2pl8Pp53mka2d,88,Inner Wave,False,0,233747,0.656,0.63,0.0322,0.0947,0.417,0.133,0.653,117.054
https://open.spotify.com/track/6omtWgXFEAeIoyEkiMFe9o,Casual Encounters,James Tillman,False,42,214227,0.408,0.344,0.0808,0.852,0.541,0.0941,0.159,150.03
https://open.spotify.com/track/7B7oncgJZ6AvkmKg6IZwpE,Sinatra,Joy Crookes,False,38,183151,0.565,0.685,0.192,0.448,1.43e-05,0.0946,0.581,131.86
https://open.spotify.com/track/6R7LF2nY3kIExm30uiQNya,So Badly (Album Version),JMSN,False,34,298250,0.614,0.55,0.0376,0.208,0.000156,0.0412,0.493,154.624
https://open.spotify.com/track/64ka8E2PpNo4NxSCiRBj1H,Why Don't You,Cleo Sol,False,59,232258,0.512,0.594,0.101,0.333,0.105,0.057,0.549,94.546
https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,False,86,158040,0.76,0.479,0.0466,0.556,0,0.0703,0.913,89.911
https://open.spotify.com/track/3KS09EvUKTtPgTHbBBsLCw,Follow the Sun,Xavier Rudd,False,20,255493,0.613,0.391,0.0385,0.532,2.63e-05,0.109,0.218,123.985
https://open.spotify.com/track/6Rt6KwuF7I8ZkdZG2G0bYr,The Only Thing,Sufjan Stevens,False,65,284130,0.519,0.145,0.0392,0.987,0.0643,0.108,0.487,158.975
https://open.spotify.com/track/6SWHTMywuTXLFlMQ75cAuu,Keep Me,Khalid,False,62,276226,0.778,0.574,0.0327,0.368,0,0.126,0.663,112.048
https://open.spotify.com/track/4V3VshJLUTCIWa77YiAkvM,Winter,Khalid,False,64,241866,0.678,0.575,0.123,0.101,9.38e-06,0.116,0.367,100.007
https://open.spotify.com/track/2oVyKK5NH2oawyrDZJn581,'Cause I'm A Man,Tame Impala,True,8,241985,0.537,0.695,0.0371,0.103,0.00315,0.134,0.626,144.674
https://open.spotify.com/track/1ujxjsoNvh4XgS2fUNwkZ2,Space Song,Beach House,False,54,320466,0.509,0.79,0.0293,0.218,0.125,0.144,0.625,147.073
https://open.spotify.com/track/0ARp9mXXpPflIwehy25kCa,Big Sis,SALES,False,60,166400,0.825,0.482,0.0378,0.876,0.209,0.101,0.338,99.991
https://open.spotify.com/track/67LKZcv1J2Yj4pk5UIuFQW,Warned You,Good Morning,False,4,133128,0.507,0.428,0.0263,0.662,0.149,0.101,0.406,138.163
https://open.spotify.com/track/6B1Q7hi48RVUvak1SLoiJX,Venus Flytrap,Feng Suave,False,52,222122,0.611,0.453,0.0296,0.533,1.78e-05,0.115,0.4,130.925
https://open.spotify.com/track/496vdGaX5HCCVjKVl4rIlF,Seventeen,Summer Salt,False,39,206786,0.659,0.558,0.0275,0.734,0.0856,0.35,0.594,109.993
https://open.spotify.com/track/5Qp0kgAx5weYcq9OXpXwzM,Revvin' My CJ-7,Summer Salt,False,40,169160,0.76,0.418,0.0407,0.826,1.35e-05,0.104,0.341,119.883
https://open.spotify.com/track/78ECvz2vs1obDkLdbMEdJK,Driving to Hawaii,Summer Salt,False,59,188183,0.346,0.637,0.0403,0.719,2.03e-05,0.263,0.297,186.836
https://open.spotify.com/track/4qkwbl6SxwLE09pxLAFINt,Sweet to Me,Summer Salt,False,59,204306,0.563,0.51,0.0283,0.677,3.8e-06,0.305,0.501,97.467
https://open.spotify.com/track/3iFYY09Z5yoNy1QnJBt4AR,Candy Wrappers,Summer Salt,False,60,194418,0.692,0.546,0.0262,0.696,0.415,0.302,0.483,95.042
https://open.spotify.com/track/197W2OQ1Khv8gnO0ZSBNq7,Oh Dear,Summer Salt,False,43,212133,0.707,0.468,0.0269,0.373,6.72e-06,0.106,0.553,102.627
https://open.spotify.com/track/0U0gZhiusaKvvqHe8w7B1X,Bones,Crumb,False,1,193986,0.535,0.605,0.0355,0.164,0.401,0.558,0.399,90.922
https://open.spotify.com/track/0npSmMSYZ6zCfNrjtOjwpE,So Tired,Crumb,False,2,218173,0.488,0.398,0.0463,0.209,0.0239,0.0852,0.357,113.518
https://open.spotify.com/track/4KDVWd4zUHrfJHyuOuvLJP,Plants,Crumb,False,1,191904,0.494,0.406,0.0416,0.607,0.53,0.122,0.219,81.067
https://open.spotify.com/track/26AhgCPP2OKAnF4AyBf2Kg,Locket,Crumb,False,4,318378,0.393,0.481,0.0273,0.758,0.73,0.0869,0.0763,98.462
https://open.spotify.com/track/0YUP8ar1GNHPFqMwUM7xCE,Recently Played,Crumb,False,1,120454,0.57,0.334,0.0312,0.692,0.172,0.226,0.124,113.546
https://open.spotify.com/track/2T64m94VBrsEISkAYq6Cnq,Cooks,Still Woozy,False,22,174105,0.363,0.579,0.0986,0.446,0.0127,0.264,0.719,78.032
https://open.spotify.com/track/2QRk4N7GObZRGyhKjUHZhP,Dizzy On the Comedown,Turnover,False,52,255773,0.619,0.632,0.0274,0.431,8.61e-06,0.0897,0.264,114.966
https://open.spotify.com/track/3ZffCQKLFLUvYM59XKLbVm,Wake Me up When September Ends,Green Day,False,75,285653,0.546,0.814,0.0314,0.023,0,0.0972,0.146,104.98
